Actual Temperature,Predicted Temperature,Absolute Error
60.3125,60.51089,0.19839096
61.25,60.775627,0.47437286
59.625,60.90915,1.2841492
60.0625,61.13892,1.0764198
60.0625,61.358334,1.2958336
61.6875,61.3022,0.38529968
62.8125,61.955772,0.8567276
59.8125,62.302864,2.490364
60.4375,61.682503,1.2450027
61.8125,61.661526,0.15097427
58.125,61.76109,3.6360893
61.0625,61.00598,0.056518555
61.5,61.632904,0.13290405
61.375,61.857536,0.48253632
61.9375,61.76716,0.17034149
60.6875,61.974533,1.2870331
62.125,61.71405,0.4109497
60.75,62.144955,1.3949547
61.875,62.060417,0.18541718
62.125,61.865814,0.2591858
60.9375,61.92637,0.9888687
58.5,62.27214,3.7721405
58.5,61.32823,2.8282318
61.5,61.37356,0.12643814
59.0625,61.659264,2.5967636
61.1875,61.082474,0.105026245
60.3125,61.667137,1.3546371
61.1875,61.31762,0.13011932
62.25,61.630905,0.61909485
61.625,62.01927,0.39427185
59.125,61.892036,2.7670364
59.75,61.132095,1.3820953
62.5625,61.07805,1.4844513
62.3125,61.01849,1.2940102
59.625,61.97518,2.3501816
60.625,61.476654,0.85165405
60.5,61.40877,0.9087715
63.5625,61.372116,2.190384
61.4375,62.237457,0.7999573
61.375,62.2947,0.9197006
60.9375,62.36387,1.4263687
60.0,62.19069,2.190689
61.75,61.65345,0.09654999
61.0,61.89355,0.8935509
61.8125,61.994347,0.18184662
62.9375,62.414467,0.52303314
62.6875,62.233387,0.454113
63.25,62.428246,0.82175446
61.3125,62.81329,1.5007896
62.875,62.45374,0.42126083
62.25,62.89198,0.6419792
62.75,62.891743,0.1417427
61.5,62.922848,1.4228477
61.0625,62.660496,1.5979958
62.25,62.547714,0.29771423
60.125,62.844215,2.7192154
61.125,62.186638,1.0616379
60.0625,62.281013,2.2185135
59.0625,61.84813,2.7856293
61.375,61.468998,0.093997955
67.3125,61.500496,5.812004
63.1875,62.80329,0.38420868
60.375,63.15528,2.780281
59.125,61.61979,2.4947891
61.0625,61.633743,0.5712433
62.0625,61.90519,0.15731049
61.25,61.771423,0.52142334
62.75,62.021835,0.7281647
61.8125,62.486286,0.67378616
63.4375,62.383705,1.0537949
62.75,63.026154,0.27615356
63.3125,62.839325,0.47317505
61.9375,62.968132,1.030632
63.75,62.83971,0.91028976
63.0625,63.284496,0.2219963
62.6875,63.331276,0.64377594
62.875,63.561333,0.6863327
62.3125,63.505787,1.1932869
64.75,63.356136,1.3938637
64.5625,63.94336,0.6191406
62.875,63.76033,0.8853302
62.8125,63.822,1.0094986
63.125,63.47027,0.34526825
62.3125,63.30056,0.98806
62.125,63.284798,1.1597977
61.125,62.66816,1.5431595
60.8125,62.92618,2.1136818
60.6875,62.193184,1.5056839
60.125,62.18077,2.0557709
61.4375,61.693085,0.25558472
61.1875,61.893982,0.70648193
62.25,61.8481,0.40190125
58.625,62.32335,3.698349
58.4375,61.242523,2.8050232
67.0625,60.99672,6.0657806
61.4375,62.752422,1.3149223
61.0,61.935364,0.93536377
61.625,61.903893,0.27889252
61.75,62.00293,0.2529297
59.5,62.206154,2.7061539
62.625,61.796024,0.8289757
62.0,62.411617,0.41161728
62.4375,62.284874,0.15262604
61.125,62.48507,1.3600693
60.125,62.594727,2.4697266
62.125,62.613583,0.4885826
63.5625,62.30197,1.2605286
61.75,62.972824,1.2228241
62.875,62.91958,0.044578552
62.9375,62.986744,0.049243927
64.0,63.106876,0.8931236
64.125,63.481644,0.6433563
63.9375,63.795765,0.14173508
63.875,64.09672,0.22171783
63.9375,63.98945,0.051948547
65.0,63.976555,1.0234451
63.75,64.36969,0.61968994
67.375,64.33551,3.0394897
64.625,65.09573,0.47073364
63.9375,64.742905,0.80540466
63.4375,65.030846,1.5933456
62.6875,64.572754,1.8852539
63.9375,64.17528,0.23777771
64.125,64.6089,0.48390198
62.8125,64.336426,1.5239258
63.75,64.29805,0.5480499
63.1875,64.42743,1.2399292
63.0625,64.207565,1.1450653
63.625,63.99941,0.37440872
63.6875,64.14751,0.4600067
63.375,64.19139,0.816391
63.75,64.21721,0.46720886
61.9375,64.09866,2.1611633
62.125,63.36204,1.2370415
62.0,63.40549,1.4054909
62.8125,63.330082,0.51758194
62.3125,63.085354,0.77285385
62.5,62.959435,0.4594345
63.375,63.209805,0.16519547
62.8125,63.37717,0.56467056
65.3125,63.091625,2.2208748
62.1875,63.734436,1.546936
62.1875,63.577087,1.3895874
62.9375,63.566868,0.6293678
61.75,63.425953,1.6759529
61.75,63.05755,1.3075485
62.1875,63.259693,1.0721931
61.625,62.945,1.3199997
62.9375,62.957344,0.019844055
63.3125,63.23004,0.082458496
62.9375,63.391922,0.454422
64.75,63.18157,1.5684319
61.875,63.59227,1.7172699
63.625,63.485416,0.13958359
63.375,63.720314,0.34531403
64.1875,63.78006,0.4074402
63.375,63.93783,0.5628319
64.3125,63.9387,0.37379837
62.25,64.010254,1.7602539
61.0625,63.588673,2.5261726
61.6875,63.29775,1.6102486
61.5,63.36375,1.8637505
60.875,62.086536,1.2115364
61.875,62.494556,0.6195564
63.0,62.26998,0.7300186
64.875,62.852474,2.0225258
62.4375,63.522114,1.0846138
62.0625,62.904926,0.8424263
62.75,63.087097,0.33709717
63.125,62.911125,0.21387482
61.9375,62.973606,1.0361061
61.6875,63.051308,1.3638077
60.75,62.795937,2.0459366
62.6875,62.260353,0.4271469
62.5,63.084393,0.58439255
62.5625,62.53365,0.028850555
63.5625,62.509468,1.0530319
61.5,62.926704,1.4267044
63.0,62.673943,0.32605743
61.875,62.860622,0.9856224
62.6875,62.402187,0.28531265
63.4375,63.005623,0.43187714
66.4375,62.58207,3.8554306
62.1875,64.27508,2.0875778
63.125,63.475773,0.35077286
64.875,63.53352,1.3414803
61.8125,63.68071,1.8682098
62.25,63.388702,1.1387024
62.125,63.64221,1.5172081
62.3125,63.5519,1.239399
61.875,63.55089,1.6758919
62.3125,63.217438,0.90493774
62.3125,63.254223,0.94172287
64.125,62.878254,1.2467461
62.1875,63.47134,1.2838402
62.5,62.678925,0.17892456
63.125,62.7655,0.35950089
62.6875,63.157856,0.470356
62.125,62.866497,0.74149704
61.0,62.559517,1.5595169
62.5625,62.513416,0.04908371
62.9375,62.857197,0.08030319
62.6875,63.275444,0.58794403
64.0625,63.092293,0.9702072
63.75,63.575222,0.17477798
61.8125,63.199024,1.3865242
61.125,62.598576,1.4735756
60.375,62.37703,2.0020294
60.25,61.696587,1.4465866
64.5625,61.173355,3.389145
61.625,62.60801,0.98300934
60.375,62.065697,1.6906967
67.25,61.830715,5.419285
59.6875,63.281315,3.5938148
62.6875,62.175148,0.512352
61.8125,62.07194,0.25944138
61.5,62.395363,0.89536285
61.4375,62.371304,0.93380356
62.25,62.23619,0.013809204
62.125,62.467087,0.3420868
61.125,62.515182,1.3901825
60.375,62.05596,1.6809616
62.25,61.678474,0.5715256
60.1875,61.78512,1.5976181
60.5,61.46469,0.96469116
58.0,61.14453,3.1445312
59.3125,60.743866,1.431366
61.1875,60.599915,0.58758545
59.125,60.84904,1.724041
59.75,60.49172,0.7417183
61.875,60.578842,1.2961578
59.625,60.123657,0.49865723
58.3125,60.032112,1.7196121
59.6875,59.66948,0.01802063
60.625,59.685043,0.93995667
61.5,59.97914,1.5208588
58.1875,60.21431,2.0268097
62.375,59.566307,2.808693
58.125,60.3966,2.2715988
59.8125,59.860123,0.04762268
57.0,59.494682,2.4946823
56.75,59.180946,2.4309464
57.1875,58.58842,1.4009209
59.0625,58.50559,0.55691147
57.1875,58.691116,1.5036163
56.625,58.53634,1.9113388
56.75,57.908524,1.1585236
56.875,57.750607,0.87560654
57.6875,57.75762,0.070121765
57.4375,58.509247,1.0717468
56.9375,57.88317,0.9456711
57.375,58.397133,1.0221329
57.5,57.650665,0.15066528
56.75,57.842426,1.0924263
58.875,57.62352,1.2514801
56.8125,58.097523,1.2850227
60.4375,58.016357,2.4211426
59.3125,59.099174,0.2133255
60.625,58.836845,1.7881546
58.75,59.8163,1.0662994
58.5,58.751026,0.25102615
59.0,59.245308,0.24530792
60.125,58.66239,1.4626083
58.875,58.945137,0.070137024
56.5625,58.96795,2.405449
57.4375,58.444656,1.0071564
61.4375,58.462753,2.9747467
56.6875,58.875534,2.188034
58.25,58.648876,0.3988762
55.6875,58.289608,2.602108
55.875,57.868744,1.9937439
58.3125,57.83328,0.47922134
58.875,58.474854,0.40014648
60.1875,58.67929,1.5082092
59.25,58.81821,0.4317894
61.125,59.679817,1.4451828
58.5,60.128616,1.6286163
58.9375,59.479713,0.54221344
60.375,59.481964,0.8930359
60.125,59.41941,0.7055893
